ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
1,Albania,AL,ALB,Environmental Taxes,ECGTE,Domestic Currency,,,,,,,,,,,,,,,,,,,,,43993138348.27,47813792742.97,47548576614.95,51145591824.17,53415648050.56,
2,Albania,AL,ALB,Environmental Taxes,ECGTE,Percent of GDP,,,,,,,,,,,,,,,,,,,,,3.0672073008319,3.24716296415569,3.06637211942313,3.12680337492595,3.18092859779175,
3,Albania,AL,ALB,Taxes on Energy (including fuel for transport),ECGTEN,Domestic Currency,,,,,,,,,,,,,,,,,,,,,37741109827,40945615341,40400044445.82,43521821908.6,45165295551,
4,Albania,AL,ALB,Taxes on Energy (including fuel for transport),ECGTEN,Percent of GDP,,,,,,,,,,,,,,,,,,,,,2.63131506296425,2.78072660737437,2.60536862996583,2.66072157488316,2.68961597376681,
5,Albania,AL,ALB,Taxes on Pollution,ECGTEP,Domestic Currency,,,,,,,,,,,,,,,,,,,,,1782068792.97,1879969501.87,1941324188.75,2226251450.57,2625011287.71,
6,Albania,AL,ALB,Taxes on Pollution,ECGTEP,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.124246066945966,0.12767377340322,0.125194543999727,0.136102649335,0.15632073707501,
7,Albania,AL,ALB,Taxes on Resources,ECGTER,Domestic Currency,,,,,,,,,,,,,,,,,,,,,32546493,52524339,61861356.38,56011991,58777099.5,
8,Albania,AL,ALB,Taxes on Resources,ECGTER,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.00226914570530975,0.00356706880030208,0.00398939257444962,0.0034243123649291,0.00350020571720539,
9,Albania,AL,ALB,Taxes on Transport (excluding fuel for transport),ECGTET,Domestic Currency,,,,,,,,,,,,,,,,,,,,,4437413235.3,4935683561.1,5145346624,5341506474,5566564112.35,
10,Albania,AL,ALB,Taxes on Transport (excluding fuel for transport),ECGTET,Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.309377025216376,0.335195514577797,0.331819552883121,0.326554838342865,0.331491681232719,
11,Argentina,AR,ARG,Environmental Taxes,ECGTE,Domestic Currency,2780.7,3344.5,5147.6,5042.6,4750.73,4506.51,4406.448,5379.507,6046.232,6675.836,7589.456,8638.361,9924.4,12772.43,15416.74,19484.559,23699.934,32957.475,40801.246,57224.044,74191.691,100506.848,139320.102,162876.863,,
12,Argentina,AR,ARG,Environmental Taxes,ECGTE,Percent of GDP,0.871,1.08,1.585,1.465,1.355,1.317,1.313,1.285,1.48,1.376,1.303,1.207,1.106,1.111,1.235,1.173,1.088,1.249,1.219,1.25,1.246,1.221,1.309,1.115,,
