Temperature Anomaly,Month,Hemisphere,Year
-0.15,Apr,Global,1/1/1880
-0.09,Aug,Global,1/1/1880
-0.16,Dec,Global,1/1/1880
-0.23,Feb,Global,1/1/1880
-0.17,Jan,Global,1/1/1880
-0.17,Jul,Global,1/1/1880
-0.2,Jun,Global,1/1/1880
-0.08,Mar,Global,1/1/1880
-0.08,May,Global,1/1/1880
-0.2,Nov,Global,1/1/1880
-0.22,Oct,Global,1/1/1880
-0.13,Sep,Global,1/1/1880
0.06,Apr,Global,1/1/1881
-0.02,Aug,Global,1/1/1881
-0.05,Dec,Global,1/1/1881
-0.13,Feb,Global,1/1/1881
-0.18,Jan,Global,1/1/1881
0.02,Jul,Global,1/1/1881
-0.17,Jun,Global,1/1/1881
0.04,Mar,Global,1/1/1881
0.08,May,Global,1/1/1881
-0.17,Nov,Global,1/1/1881
-0.2,Oct,Global,1/1/1881
-0.14,Sep,Global,1/1/1881
-0.15,Apr,Global,1/1/1882
-0.06,Aug,Global,1/1/1882
-0.34,Dec,Global,1/1/1882
0.15,Feb,Global,1/1/1882
0.18,Jan,Global,1/1/1882
-0.15,Jul,Global,1/1/1882
-0.21,Jun,Global,1/1/1882
0.06,Mar,Global,1/1/1882
-0.13,May,Global,1/1/1882
-0.15,Nov,Global,1/1/1882
-0.23,Oct,Global,1/1/1882
-0.13,Sep,Global,1/1/1882
-0.17,Apr,Global,1/1/1883
-0.12,Aug,Global,1/1/1883
-0.1,Dec,Global,1/1/1883
-0.36,Feb,Global,1/1/1883
-0.28,Jan,Global,1/1/1883
-0.05,Jul,Global,1/1/1883
-0.07,Jun,Global,1/1/1883
-0.11,Mar,Global,1/1/1883
-0.16,May,Global,1/1/1883
-0.22,Nov,Global,1/1/1883
-0.1,Oct,Global,1/1/1883
-0.2,Sep,Global,1/1/1883
-0.39,Apr,Global,1/1/1884
-0.27,Aug,Global,1/1/1884
-0.3,Dec,Global,1/1/1884
-0.07,Feb,Global,1/1/1884
-0.12,Jan,Global,1/1/1884
-0.32,Jul,Global,1/1/1884
-0.34,Jun,Global,1/1/1884
-0.36,Mar,Global,1/1/1884
-0.33,May,Global,1/1/1884
-0.32,Nov,Global,1/1/1884
-0.24,Oct,Global,1/1/1884
-0.26,Sep,Global,1/1/1884
-0.41,Apr,Global,1/1/1885
-0.3,Aug,Global,1/1/1885
-0.09,Dec,Global,1/1/1885
-0.33,Feb,Global,1/1/1885
-0.58,Jan,Global,1/1/1885
-0.33,Jul,Global,1/1/1885
-0.43,Jun,Global,1/1/1885
-0.25,Mar,Global,1/1/1885
-0.44,May,Global,1/1/1885
-0.23,Nov,Global,1/1/1885
-0.23,Oct,Global,1/1/1885
-0.28,Sep,Global,1/1/1885
-0.27,Apr,Global,1/1/1886
-0.3,Aug,Global,1/1/1886
-0.24,Dec,Global,1/1/1886
-0.5,Feb,Global,1/1/1886
-0.43,Jan,Global,1/1/1886
-0.17,Jul,Global,1/1/1886
-0.34,Jun,Global,1/1/1886
-0.42,Mar,Global,1/1/1886
-0.23,May,Global,1/1/1886
-0.26,Nov,Global,1/1/1886
-0.27,Oct,Global,1/1/1886
-0.23,Sep,Global,1/1/1886
-0.34,Apr,Global,1/1/1887
-0.34,Aug,Global,1/1/1887
-0.32,Dec,Global,1/1/1887
-0.56,Feb,Global,1/1/1887
-0.71,Jan,Global,1/1/1887
-0.25,Jul,Global,1/1/1887
-0.24,Jun,Global,1/1/1887
-0.35,Mar,Global,1/1/1887
-0.29,May,Global,1/1/1887
-0.25,Nov,Global,1/1/1887
-0.35,Oct,Global,1/1/1887
-0.25,Sep,Global,1/1/1887
-0.2,Apr,Global,1/1/1888
-0.15,Aug,Global,1/1/1888
-0.03,Dec,Global,1/1/1888
-0.35,Feb,Global,1/1/1888
-0.33,Jan,Global,1/1/1888
-0.1,Jul,Global,1/1/1888
-0.17,Jun,Global,1/1/1888
-0.41,Mar,Global,1/1/1888
-0.21,May,Global,1/1/1888
0.03,Nov,Global,1/1/1888
0.02,Oct,Global,1/1/1888
-0.11,Sep,Global,1/1/1888
0.1,Apr,Global,1/1/1889
-0.2,Aug,Global,1/1/1889
-0.28,Dec,Global,1/1/1889
0.17,Feb,Global,1/1/1889
-0.08,Jan,Global,1/1/1889
-0.07,Jul,Global,1/1/1889
-0.1,Jun,Global,1/1/1889
0.06,Mar,Global,1/1/1889
0,May,Global,1/1/1889
-0.33,Nov,Global,1/1/1889
-0.25,Oct,Global,1/1/1889
-0.24,Sep,Global,1/1/1889
-0.29,Apr,Global,1/1/1890
-0.38,Aug,Global,1/1/1890
-0.3,Dec,Global,1/1/1890
-0.44,Feb,Global,1/1/1890
-0.41,Jan,Global,1/1/1890
-0.27,Jul,Global,1/1/1890
-0.24,Jun,Global,1/1/1890
-0.4,Mar,Global,1/1/1890
-0.39,May,Global,1/1/1890
-0.42,Nov,Global,1/1/1890
-0.24,Oct,Global,1/1/1890
-0.36,Sep,Global,1/1/1890
-0.27,Apr,Global,1/1/1891
-0.17,Aug,Global,1/1/1891
-0.04,Dec,Global,1/1/1891
-0.46,Feb,Global,1/1/1891
-0.34,Jan,Global,1/1/1891
-0.17,Jul,Global,1/1/1891
-0.2,Jun,Global,1/1/1891
-0.18,Mar,Global,1/1/1891
-0.16,May,Global,1/1/1891
-0.31,Nov,Global,1/1/1891
-0.22,Oct,Global,1/1/1891
-0.15,Sep,Global,1/1/1891
-0.33,Apr,Global,1/1/1892
-0.27,Aug,Global,1/1/1892
-0.38,Dec,Global,1/1/1892
-0.1,Feb,Global,1/1/1892
-0.28,Jan,Global,1/1/1892
-0.31,Jul,Global,1/1/1892
-0.22,Jun,Global,1/1/1892
-0.4,Mar,Global,1/1/1892
-0.23,May,Global,1/1/1892
-0.41,Nov,Global,1/1/1892
-0.14,Oct,Global,1/1/1892
-0.16,Sep,Global,1/1/1892
-0.27,Apr,Global,1/1/1893
-0.24,Aug,Global,1/1/1893
-0.31,Dec,Global,1/1/1893
-0.57,Feb,Global,1/1/1893
-0.81,Jan,Global,1/1/1893
-0.13,Jul,Global,1/1/1893
-0.25,Jun,Global,1/1/1893
-0.22,Mar,Global,1/1/1893
-0.33,May,Global,1/1/1893
-0.18,Nov,Global,1/1/1893
-0.18,Oct,Global,1/1/1893
-0.22,Sep,Global,1/1/1893
-0.44,Apr,Global,1/1/1894
-0.23,Aug,Global,1/1/1894
-0.2,Dec,Global,1/1/1894
-0.29,Feb,Global,1/1/1894
-0.52,Jan,Global,1/1/1894
-0.23,Jul,Global,1/1/1894
-0.4,Jun,Global,1/1/1894
-0.23,Mar,Global,1/1/1894
-0.3,May,Global,1/1/1894
-0.25,Nov,Global,1/1/1894
-0.23,Oct,Global,1/1/1894
-0.27,Sep,Global,1/1/1894
-0.21,Apr,Global,1/1/1895
-0.16,Aug,Global,1/1/1895
-0.13,Dec,Global,1/1/1895
-0.42,Feb,Global,1/1/1895
-0.4,Jan,Global,1/1/1895
-0.16,Jul,Global,1/1/1895
-0.2,Jun,Global,1/1/1895
-0.32,Mar,Global,1/1/1895
-0.26,May,Global,1/1/1895
-0.16,Nov,Global,1/1/1895
-0.1,Oct,Global,1/1/1895
-0.12,Sep,Global,1/1/1895
-0.3,Apr,Global,1/1/1896
-0.05,Aug,Global,1/1/1896
-0.04,Dec,Global,1/1/1896
-0.12,Feb,Global,1/1/1896
-0.21,Jan,Global,1/1/1896
-0.02,Jul,Global,1/1/1896
-0.1,Jun,Global,1/1/1896
-0.26,Mar,Global,1/1/1896
-0.15,May,Global,1/1/1896
-0.04,Nov,Global,1/1/1896
0.07,Oct,Global,1/1/1896
-0.07,Sep,Global,1/1/1896
-0.02,Apr,Global,1/1/1897
-0.09,Aug,Global,1/1/1897
-0.19,Dec,Global,1/1/1897
-0.17,Feb,Global,1/1/1897
-0.15,Jan,Global,1/1/1897
-0.02,Jul,Global,1/1/1897
-0.11,Jun,Global,1/1/1897
-0.13,Mar,Global,1/1/1897
-0.01,May,Global,1/1/1897
-0.17,Nov,Global,1/1/1897
-0.12,Oct,Global,1/1/1897
-0.08,Sep,Global,1/1/1897
-0.3,Apr,Global,1/1/1898
-0.25,Aug,Global,1/1/1898
-0.22,Dec,Global,1/1/1898
-0.29,Feb,Global,1/1/1898
-0.01,Jan,Global,1/1/1898
-0.21,Jul,Global,1/1/1898
-0.18,Jun,Global,1/1/1898
-0.5,Mar,Global,1/1/1898
-0.29,May,Global,1/1/1898
-0.37,Nov,Global,1/1/1898
-0.34,Oct,Global,1/1/1898
-0.21,Sep,Global,1/1/1898
-0.2,Apr,Global,1/1/1899
-0.08,Aug,Global,1/1/1899
-0.25,Dec,Global,1/1/1899
-0.38,Feb,Global,1/1/1899
-0.15,Jan,Global,1/1/1899
-0.15,Jul,Global,1/1/1899
-0.31,Jun,Global,1/1/1899
-0.35,Mar,Global,1/1/1899
-0.22,May,Global,1/1/1899
0.14,Nov,Global,1/1/1899
-0.04,Oct,Global,1/1/1899
-0.04,Sep,Global,1/1/1899
-0.08,Apr,Global,1/1/1900
-0.08,Aug,Global,1/1/1900
-0.06,Dec,Global,1/1/1900
-0.05,Feb,Global,1/1/1900
-0.35,Jan,Global,1/1/1900
-0.12,Jul,Global,1/1/1900
-0.09,Jun,Global,1/1/1900
0.01,Mar,Global,1/1/1900
-0.08,May,Global,1/1/1900
-0.05,Nov,Global,1/1/1900
0.11,Oct,Global,1/1/1900
-0.04,Sep,Global,1/1/1900
-0.02,Apr,Global,1/1/1901
-0.2,Aug,Global,1/1/1901
-0.26,Dec,Global,1/1/1901
-0.1,Feb,Global,1/1/1901
-0.21,Jan,Global,1/1/1901
-0.14,Jul,Global,1/1/1901
-0.11,Jun,Global,1/1/1901
0.07,Mar,Global,1/1/1901
-0.15,May,Global,1/1/1901
-0.17,Nov,Global,1/1/1901
-0.28,Oct,Global,1/1/1901
-0.21,Sep,Global,1/1/1901
-0.27,Apr,Global,1/1/1902
-0.29,Aug,Global,1/1/1902
-0.4,Dec,Global,1/1/1902
-0.06,Feb,Global,1/1/1902
-0.17,Jan,Global,1/1/1902
-0.27,Jul,Global,1/1/1902
-0.29,Jun,Global,1/1/1902
-0.27,Mar,Global,1/1/1902
-0.31,May,Global,1/1/1902
-0.34,Nov,Global,1/1/1902
-0.28,Oct,Global,1/1/1902
-0.28,Sep,Global,1/1/1902
-0.4,Apr,Global,1/1/1903
-0.44,Aug,Global,1/1/1903
-0.49,Dec,Global,1/1/1903
-0.05,Feb,Global,1/1/1903
-0.22,Jan,Global,1/1/1903
-0.34,Jul,Global,1/1/1903
-0.41,Jun,Global,1/1/1903
-0.21,Mar,Global,1/1/1903
-0.39,May,Global,1/1/1903
-0.41,Nov,Global,1/1/1903
-0.47,Oct,Global,1/1/1903
-0.49,Sep,Global,1/1/1903
-0.49,Apr,Global,1/1/1904
-0.48,Aug,Global,1/1/1904
-0.32,Dec,Global,1/1/1904
-0.57,Feb,Global,1/1/1904
-0.62,Jan,Global,1/1/1904
-0.5,Jul,Global,1/1/1904
-0.47,Jun,Global,1/1/1904
-0.47,Mar,Global,1/1/1904
-0.51,May,Global,1/1/1904
-0.16,Nov,Global,1/1/1904
-0.38,Oct,Global,1/1/1904
-0.55,Sep,Global,1/1/1904
-0.33,Apr,Global,1/1/1905
-0.19,Aug,Global,1/1/1905
-0.12,Dec,Global,1/1/1905
-0.58,Feb,Global,1/1/1905
-0.34,Jan,Global,1/1/1905
-0.26,Jul,Global,1/1/1905
-0.27,Jun,Global,1/1/1905
-0.21,Mar,Global,1/1/1905
-0.29,May,Global,1/1/1905
-0.06,Nov,Global,1/1/1905
-0.24,Oct,Global,1/1/1905
